file_name,download_folder,prefix,download_name,file_type,2025 Federal Election,2024 Cook By-Election,2024 Dunkley By-Election,2023 Referendum,2023 Fadden By-Election,2023 Aston By-Election,2022 Federal Election,2020 Groom By-Election,2020 Eden-Monaro By-Election,2019 Federal Election,2018 Wentworth By-Election,2018 Braddon By-Election,2018 Fremantle By-Election,2018 Longman By-Election,2018 Mayo By-Election,2018 Perth By-Election,2018 Batman By-Election,2017 Bennelong By-Election,2017 New England By-Election,2016 Federal Election,2015 North Sydney By-Election,2015 Canning By-Election,2014 WA Senate Election,2014 Griffith By-Election,2013 Federal Election,2010 Federal Election,2009 Higgins By-Election,2009 Bradfield By-Election,2008 Lyne By-Election,2008 Mayo By-Election,2008 Gippsland By-Election,2007 Federal Election,2004 Federal Election,processing_function
Informal votes by division,Downloads,Senate,InformalByDivision,.csv,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,NA
Turnout by state,Downloads,Senate,TurnoutByState,.csv,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,NA
Turnout by division,Downloads,Senate,TurnoutByDivision,.csv,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,NA
Votes by state,Downloads,Senate,VotesCountedByState,.csv,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,NA
Votes by division,Downloads,Senate,VotesCountedByDivision,.csv,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,NA
Postal vote applications by total,Elections,Statistics,see info spreadsheet,.csv,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Postal vote applications by date,Elections,Statistics,see info spreadsheet,.csv,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,process_pva_date
Postal vote applications by party,Elections,Statistics,see info spreadsheet,.csv,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,process_pva_party
Pre-poll votes,Elections,Statistics,see info spreadsheet,.csv,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,process_ppv
Votes by SA1,Elections,Statistics,see info spreadsheet,Mixed,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,process_ccd
Overseas,Elections,Statistics,see info spreadsheet,.csv,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,process_overseas
Informal votes by state,Downloads,Referendum,InformalByState,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Informal votes by division,Downloads,Referendum,InformalByDivision,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Turnout by state,Downloads,Referendum,TurnoutByState,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Turnout by division,Downloads,Referendum,TurnoutByDivision,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by state,Downloads,Referendum,VotesCountedByState,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by division,Downloads,Referendum,VotesCountedByDivision,.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-NSW.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-VIC.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-QLD.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-WA.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-SA.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-TAS.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-ACT.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
Votes by polling place,Downloads,Referendum,PollingPlaceResultsByState,-NT.csv,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA
